4717	jesus christ	1095706	Jesus ( JEE-zuss; Greek: Ἰησοῦς, translit. Iesous; Hebrew: ישוע‎, translit. Yēšū́aʿ‎; c. 4 BC – c. 30/33 AD), also referred to as Jesus of Nazareth or Jesus Christ, was a Jewish preacher and religious leader who became the central figure of Christianity. Christians believe him to be the Son of God and the awaited Messiah (Christ) prophesied in the Old Testament. Virtually all modern scholars of antiquity agree that Jesus existed historically, although the quest for the historical Jesus has produced little agreement on the historical reliability of the Gospels and on how closely the biblical Jesus reflects the historical Jesus. Jesus was a Galilean Jew who was baptized by John the Baptist and subsequently began his own ministry, preaching his message orally and often being referred to as "rabbi". He was arrested and tried by the Jewish religious authorities, and turned over to the Roman government, and was subsequently crucified on the order of Pontius Pilate, the Roman prefect. Jesus debated fellow Jews on how to best follow God, performed healings, taught in parables and gathered followers. After his death, his followers believed he rose from the dead, and the community they formed eventually became the Christian Church. His birth is celebrated annually on December 25 (or various dates in January for some eastern churches) as a holiday known as Christmas, his crucifixion is honored on Good Friday, and his resurrection is celebrated on Easter. The widely used calendar era "AD", from the Latin anno Domini ("in the year of the Lord"), and the alternative "CE", are based on the approximate birth date of Jesus. Christian doctrines include the beliefs that Jesus was conceived by the Holy Spirit, was born of a virgin named Mary, performed miracles, founded the Church, died by crucifixion as a sacrifice to achieve atonement, rose from the dead, and ascended into Heaven, whence he will return. Most Christians believe Jesus enables humans to be reconciled to God. The Nicene Creed asserts that Jesus will judge the living and the dead either before or after their bodily resurrection, an event tied to the Second Coming of Jesus in Christian eschatology. The great majority of Christians worship Jesus as the incarnation of God the Son, the second of three persons of a Divine Trinity. A minority of Christian denominations reject Trinitarianism, wholly or partly, as non-scriptural. In Islam, Jesus (commonly transliterated as Isa) is considered one of God's important prophets and the Messiah. Muslims believe Jesus was a bringer of scripture and was born of a virgin but was not the Son of God. The Quran states that Jesus himself never claimed divinity. To most Muslims, Jesus was not crucified but was physically raised into Heaven by God. Judaism rejects the belief that Jesus was the awaited Messiah, arguing that he did not fulfill Messianic prophecies and asserting that his resurrection is a Christian legend.
4716	julius caesar	15924	Gaius Julius Caesar (Classical Latin orthography: CAIVS IVLIVS CAESAR, Classical Latin: [ˈɡaː.i.ʊs ˈjuː.li.ʊs ˈkae̯.sar]; 13 July 100 BC – 15 March 44 BC), mostly known as Julius Caesar (Classical Latin: IVLIVS CAESAR), was a Roman politician, general, and notable author of Latin prose. He played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire. In 60 BC, Caesar, Crassus, and Pompey formed a political alliance that dominated Roman politics for several years. Their attempts to amass power as Populares were opposed by the Optimates within the Roman Senate, among them Cato the Younger with the frequent support of Cicero. Caesar's victories in the Gallic Wars, completed by 51 BC, extended Rome's territory to the English Channel and the Rhine. Caesar became the first Roman general to cross both the Channel and the Rhine, when he built a bridge across the Rhine and crossed the Channel to invade Britain. These achievements granted him unmatched military power and threatened to eclipse the standing of Pompey, who had realigned himself with the Senate after the death of Crassus in 53 BC. With the Gallic Wars concluded, the Senate ordered Caesar to step down from his military command and return to Rome. Caesar refused the order, and instead marked his defiance in 49 BC by crossing the Rubicon with the 13th Legion, leaving his province and illegally entering Roman Italy under arms. Civil war resulted, and Caesar's victory in the war put him in an unrivalled position of power and influence. After assuming control of government, Caesar began a programme of social and governmental reforms, including the creation of the Julian calendar. He centralised the bureaucracy of the Republic and was eventually proclaimed "dictator in perpetuity", giving him additional authority. But the underlying political conflicts had not been resolved, and on the Ides of March (15 March) 44 BC, Caesar was assassinated by a group of rebellious senators led by Marcus Junius Brutus. A new series of civil wars broke out, and the constitutional government of the Republic was never fully restored. Caesar's adopted heir Octavian, later known as Augustus, rose to sole power after defeating his opponents in the civil war. Octavian set about solidifying his power, and the era of the Roman Empire began. Much of Caesar's life is known from his own accounts of his military campaigns, and from other contemporary sources, mainly the letters and speeches of Cicero and the historical writings of Sallust. The later biographies of Caesar by Suetonius and Plutarch are also major sources. Caesar is considered by many historians to be one of the greatest military commanders in history.
1236	adolf hitler	2731583	Adolf Hitler (German: [ˈadɔlf ˈhɪtlɐ]; 20 April 1889 – 30 April 1945) was a German politician who was the leader of the Nazi Party (Nationalsozialistische Deutsche Arbeiterpartei; NSDAP), Chancellor of Germany from 1933 to 1945, and Führer ("Leader") of Nazi Germany from 1934 to 1945. As dictator, he initiated World War II in Europe with the invasion of Poland in September 1939, and was central to the Holocaust. Hitler was born in Austria, then part of Austria-Hungary, and raised near Linz. He moved to Germany in 1913 and was decorated during his service in the German Army in World War I. He joined the German Workers' Party (DAP), the precursor of the NSDAP, in 1919 and became leader of the NSDAP in 1921. In 1923 he attempted a coup in Munich to seize power. The failed coup resulted in Hitler's imprisonment, during which he dictated the first volume of his autobiography and political manifesto Mein Kampf ("My Struggle"). After his release in 1924, Hitler gained popular support by attacking the Treaty of Versailles and promoting Pan-Germanism, anti-semitism, and anti-communism with charismatic oratory and Nazi propaganda. Hitler frequently denounced international capitalism and communism as being part of a Jewish conspiracy. By 1933, the Nazi Party was the largest elected party in the German Reichstag, which led to Hitler's appointment as Chancellor on 30 January 1933. Following fresh elections won by his coalition, the Reichstag passed the Enabling Act, which began the process of transforming the Weimar Republic into Nazi Germany, a one-party dictatorship based on the totalitarian and autocratic ideology of National Socialism. Hitler aimed to eliminate Jews from Germany and establish a New Order to counter what he saw as the injustice of the post-World War I international order dominated by Britain and France. His first six years in power resulted in rapid economic recovery from the Great Depression, the effective abandonment of restrictions imposed on Germany after World War I, and the annexation of territories that were home to millions of ethnic Germans—actions which gave him significant popular support. Hitler sought Lebensraum ("living space") for the German people in Eastern Europe. His aggressive foreign policy is considered to be the primary cause of the outbreak of World War II in Europe. He directed large-scale rearmament and on 1 September 1939 invaded Poland, resulting in British and French declarations of war on Germany. In June 1941, Hitler ordered an invasion of the Soviet Union. By the end of 1941 German forces and the European Axis powers occupied most of Europe and North Africa. In December 1941 Hitler formally declared war on the United States, bringing them directly into the conflict. Failure to defeat the Soviets and the entry of the United States into the war forced Germany onto the defensive and it suffered a series of escalating defeats. In the final days of the war, during the Battle of Berlin in 1945, Hitler married his long-time lover, Eva Braun. On 30 April 1945, less than two days later, the two killed themselves to avoid capture by the Red Army, and their corpses were burned. Under Hitler's leadership and racially motivated ideology, the Nazi regime was responsible for the genocide of at least 5.5 million Jews and millions of other victims whom he and his followers deemed Untermenschen (sub-humans) and socially undesirable. Hitler and the Nazi regime were also responsible for the killing of an estimated 19.3 million civilians and prisoners of war. In addition, 29 million soldiers and civilians died as a result of military action in the European Theatre of World War II. The number of civilians killed during the Second World War was unprecedented in warfare; the casualties constituted the deadliest conflict in human history.
8572	william shakespeare	32897	William Shakespeare (; 26 April 1564 (baptised) – 23 April 1616) was an English poet, playwright, and actor, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet, and the "Bard of Avon". His extant works, including collaborations, consist of approximately 38 plays, 154 sonnets, two long narrative poems, and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. Shakespeare was born and brought up in Stratford-upon-Avon, Warwickshire. At the age of 18, he married Anne Hathaway, with whom he had three children: Susanna, and twins Hamnet and Judith. Sometime between 1585 and 1592, he began a successful career in London as an actor, writer, and part-owner of a playing company called the Lord Chamberlain's Men, later known as the King's Men. He appears to have retired to Stratford around 1613, at age 49, where he died three years later. Few records of Shakespeare's private life survive, which has stimulated considerable speculation about such matters as his physical appearance, sexuality, religious beliefs, and whether the works attributed to him were written by others. Shakespeare produced most of his known work between 1589 and 1613. His early plays were primarily comedies and histories, which are regarded as some of the best work ever produced in these genres. He then wrote mainly tragedies until about 1608, including Hamlet, Othello, King Lear, and Macbeth, considered some of the finest works in the English language. In his last phase, he wrote tragicomedies, also known as romances, and collaborated with other playwrights. Many of his plays were published in editions of varying quality and accuracy during his lifetime. In 1623, however, John Heminges and Henry Condell, two friends and fellow actors of Shakespeare, published a more definitive text known as the First Folio, a posthumous collected edition of his dramatic works that included all but two of the plays now recognised as Shakespeare's. It was prefaced with a poem by Ben Jonson, in which Shakespeare is hailed, presciently, as "not of an age, but for all time". In the 20th and 21st centuries, his works have been repeatedly adapted and rediscovered by new movements in scholarship and performance. His plays remain highly popular and are constantly studied, performed, and reinterpreted in diverse cultural and political contexts throughout the world.
5512	napoleon bonaparte	69880	Napoleon Bonaparte (; French: [napɔleɔ̃ bɔnapaʁt]; 15 August 1769 – 5 May 1821) was a French military and political leader who rose to prominence during the French Revolution and led several successful campaigns during the French Revolutionary Wars. As Napoleon I, he was Emperor of the French from 1804 until 1814, and again briefly in 1815 (during the Hundred Days). Napoleon dominated European and global affairs for more than a decade while leading France against a series of coalitions in the Napoleonic Wars. He won most of these wars and the vast majority of his battles, building a large empire that ruled over continental Europe before its final collapse in 1815. One of the greatest commanders in history, his wars and campaigns are studied at military schools worldwide. Napoleon's political and cultural legacy has endured as one of the most celebrated and controversial leaders in human history. He was born Napoleone di Buonaparte (Italian: [napoleˈoːne di bwɔnaˈparte]) in Corsica, to a relatively modest family from the minor nobility. When the Revolution broke out in 1789, Napoleon was serving as an artillery officer in the French army. Seizing the new opportunities presented by the Revolution, he rapidly rose through the ranks of the military, becoming a general at age 24. The Directory eventually gave him command of the Army of Italy after he suppressed a revolt against the government from royalist insurgents. At age 26, he began his first military campaign against the Austrians and their Italian allies—winning virtually every battle, conquering the Italian Peninsula in a year, and becoming a national hero. In 1798, he led a military expedition to Egypt that served as a springboard to political power. He engineered a coup in November 1799 and became First Consul of the Republic. His ambition and public approval inspired him to go further, and in 1804 he became the first Emperor of the French. Intractable differences with the British meant that the French were facing a Third Coalition by 1805. Napoleon shattered this coalition with decisive victories in the Ulm Campaign and a historic triumph over Russia and Austria at the Battle of Austerlitz, which led to the elimination of the thousand-year-old Holy Roman Empire. In 1806, the Fourth Coalition took up arms against him because Prussia became worried about growing French influence on the continent. Napoleon quickly defeated Prussia at the battles of Jena and Auerstedt, then marched the Grand Army deep into Eastern Europe and annihilated the Russians in June 1807 at the Battle of Friedland. France then forced the defeated nations of the Fourth Coalition to sign the Treaties of Tilsit in July 1807, bringing an uneasy peace to the continent. Tilsit signified the high watermark of the French Empire. In 1809, the Austrians and the British challenged the French again during the War of the Fifth Coalition, but Napoleon solidified his grip over Europe after triumphing at the Battle of Wagram in July. Hoping to extend the Continental System and choke off British trade with the European mainland, Napoleon invaded Iberia and declared his brother Joseph the King of Spain in 1808. The Spanish and the Portuguese revolted with British support. The Peninsular War lasted six years, featured extensive guerrilla warfare, and ended in victory for the Allies. The Continental System caused recurring diplomatic conflicts between France and its client states, especially Russia. Unwilling to bear the economic consequences of reduced trade, the Russians routinely violated the Continental System and enticed Napoleon into another war. The French launched a major invasion of Russia in the summer of 1812. The resulting campaign witnessed the collapse of the Grand Army and the destruction of Russian cities, and inspired a renewed push against Napoleon by his enemies. In 1813, Prussia and Austria joined Russian forces in a Sixth Coalition against France. A lengthy military campaign culminated in a large Allied army defeating Napoleon at the Battle of Leipzig in October 1813. The Allies then invaded France and captured Paris in the spring of 1814, forcing Napoleon to abdicate in April. He was exiled to the island of Elba near Rome and the Bourbons were restored to power. However, Napoleon escaped from Elba in February 1815 and took control of France once again. The Allies responded by forming a Seventh Coalition, which defeated Napoleon at the Battle of Waterloo in June. The British exiled him to the remote island of Saint Helena in the South Atlantic, where he died six years later at the age of 51. Napoleon had an extensive and powerful influence on the modern world, bringing liberal reforms to the numerous territories that he conquered and controlled, such as the Low Countries, Switzerland, and large parts of modern Italy and Germany. He implemented fundamental liberal policies in France and throughout Western Europe. His legal achievement, the Napoleonic Code, has influenced the legal systems of more than 70 nations around the world. British historian Andrew Roberts stated, "The ideas that underpin our modern world—meritocracy, equality before the law, property rights, religious toleration, modern secular education, sound finances, and so on—were championed, consolidated, codified and geographically extended by Napoleon. To them he added a rational and efficient local administration, an end to rural banditry, the encouragement of science and the arts, the abolition of feudalism and the greatest codification of laws since the fall of the Roman Empire".
3155	isaac newton	14627	Sir Isaac Newton PRS (; 25 December 1642 – 20 March 1726/27) was an English mathematician, astronomer, and physicist (described in his own day as a "natural philosopher") who is widely recognised as one of the most influential scientists of all time and a key figure in the scientific revolution. His book Philosophiæ Naturalis Principia Mathematica ("Mathematical Principles of Natural Philosophy"), first published in 1687, laid the foundations of classical mechanics. Newton also made seminal contributions to optics, and he shares credit with Gottfried Wilhelm Leibniz for developing the infinitesimal calculus. Newton's Principia formulated the laws of motion and universal gravitation that dominated scientists' view of the physical universe for the next three centuries. By deriving Kepler's laws of planetary motion from his mathematical description of gravity, and using the same principles to account for the trajectories of comets, the tides, the precession of the equinoxes, and other phenomena, Newton removed the last doubts about the validity of the heliocentric model of the Solar System and demonstrated that the motion of objects on Earth and of celestial bodies could be accounted for by the same principles. Newton's theoretical prediction that the Earth is shaped as an oblate spheroid was later vindicated by the geodetic measurements of Maupertuis, La Condamine, and others, thus convincing most Continental European scientists of the superiority of Newtonian mechanics over the earlier system of Descartes. Newton also built the first practical reflecting telescope and developed a sophisticated theory of colour based on the observation that a prism decomposes white light into the colours of the visible spectrum. Newton's work on light was collected in his highly influential book Opticks, first published in 1704. He also formulated an empirical law of cooling, made the first theoretical calculation of the speed of sound, and introduced the notion of a Newtonian fluid. In addition to his work on calculus, as a mathematician Newton contributed to the study of power series, generalised the binomial theorem to non-integer exponents, developed a method for approximating the roots of a function, and classified most of the cubic plane curves. Newton was a fellow of Trinity College and the second Lucasian Professor of Mathematics at the University of Cambridge. He was a devout but unorthodox Christian, who privately rejected the doctrine of the Trinity and who, unusually for a member of the Cambridge faculty of the day, refused to take holy orders in the Church of England. Beyond his work on the mathematical sciences, Newton dedicated much of his time to the study of alchemy and biblical chronology, but most of his work in those areas remained unpublished until long after his death. Politically and personally tied to the Whig party, Newton served two brief terms as Member of Parliament for the University of Cambridge, in 1689–90 and 1701–02. He was knighted by Queen Anne in 1705 and he spent the last three decades of his life in London, serving as Warden (1696–1700) and Master (1700–1727) of the Royal Mint, as well as president of the Royal Society (1703–1727).
1725	albert einstein	736	Albert Einstein (; German: [ˈalbɛɐ̯t ˈaɪnʃtaɪn]; 14 March 1879 – 18 April 1955) was a German-born theoretical physicist. Einstein developed the theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics). Einstein's work is also known for its influence on the philosophy of science. Einstein is best known by the general public for his mass–energy equivalence formula E = mc2 (which has been dubbed "the world's most famous equation"). He received the 1921 Nobel Prize in Physics "for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect", a pivotal step in the evolution of quantum theory. Near the beginning of his career, Einstein thought that Newtonian mechanics was no longer enough to reconcile the laws of classical mechanics with the laws of the electromagnetic field. This led him to develop his special theory of relativity during his time at the Swiss Patent Office in Bern (1902–1909), Switzerland. However, he realized that the principle of relativity could also be extended to gravitational fields and—with his subsequent theory of gravitation in 1916—he published a paper on general relativity. He continued to deal with problems of statistical mechanics and quantum theory, which led to his explanations of particle theory and the motion of molecules. He also investigated the thermal properties of light which laid the foundation of the photon theory of light. In 1917, Einstein applied the general theory of relativity to model the large-scale structure of the universe. Between 1895 and 1914 he lived in Switzerland (except for one year in Prague, 1911–12), where he received his academic diploma from the Swiss Federal Polytechnic in Zürich (later the Eidgenössische Technische Hochschule, ETH) in 1900. He later taught there at the same institute as a professor of theoretical physics between 1912 and 1914 before he left for Berlin. In 1901, after being stateless for more than five years, Einstein acquired Swiss citizenship, which he kept for the rest of his life. In 1905, Einstein was awarded a PhD by the University of Zürich. The same year, his annus mirabilis (miracle year), he published four groundbreaking papers, which were to bring him to the notice of the academic world, at the age of 26. He was visiting the United States when Adolf Hitler came to power in 1933 and—being Jewish—did not go back to Germany, where he had been a professor at the Berlin Academy of Sciences. He settled in the United States, becoming an American citizen in 1940. On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential development of "extremely powerful bombs of a new type" and recommending that the U.S. begin similar research. This eventually led to what would become the Manhattan Project. Einstein supported defending the Allied forces, but generally denounced the idea of using the newly discovered nuclear fission as a weapon. Later, with the British philosopher Bertrand Russell, Einstein signed the Russell–Einstein Manifesto, which highlighted the danger of nuclear weapons. Einstein was affiliated with the Institute for Advanced Study in Princeton, New Jersey, until his death in 1955. Einstein published more than 300 scientific papers along with over 150 non-scientific works. Einstein's intellectual achievements and originality have made the word "Einstein" synonymous with "genius".
1617	christopher columbus	5635	Christopher Columbus (c. 1451 – 20 May 1506) was an Italian explorer, navigator, and colonizer. Born in the Republic of Genoa, under the auspices of the Catholic Monarchs of Spain he completed four voyages across the Atlantic Ocean. Those voyages and his efforts to establish settlements on the island of Hispaniola initiated the permanent European colonization of the New World. At a time when European kingdoms were beginning to establish new trade routes and colonies, motivated by imperialism and economic competition, Columbus proposed to reach the East Indies (South and Southeast Asia) by sailing westward. This eventually received the support of the Spanish Crown, which saw a chance to enter the spice trade with Asia through this new route. During his first voyage in 1492, he reached the New World instead of arriving at Japan as he had intended, landing on an island in the Bahamas archipelago that he named "San Salvador". Over the course of three more voyages, he visited the Greater and Lesser Antilles, as well as the Caribbean coast of Venezuela and Central America, claiming all of it for the Crown of Castile. Columbus was not the first European explorer to reach the Americas, having been preceded by the Viking expedition led by Leif Erikson in the 11th century, but his voyages led to the first lasting European contact with the Americas, inaugurating a period of exploration, conquest, and colonization that lasted several centuries. These voyages thus had an enormous effect on the historical development of the modern Western world. He spearheaded the transatlantic slave trade and has been accused by several historians of initiating the genocide of the Hispaniola natives. Columbus himself saw his accomplishments primarily in the light of spreading the Christian religion. Columbus never admitted that he had reached a continent previously unknown to Europeans, rather than the East Indies for which he had set course. He called the inhabitants of the lands that he visited indios (Spanish for "Indians"). His strained relationship with the Spanish crown and its appointed colonial administrators in America led to his arrest and dismissal as governor of the settlements on the island of Hispaniola in 1500, and later to protracted litigation over the benefits that he and his heirs claimed were owed to them by the crown.
2213	dante alighieri	8169	Durante degli Alighieri (Italian: [duˈrante deʎʎ aliˈɡjɛːri]), simply called Dante (Italian: [ˈdante], UK: , US: ; c. 1265 – 1321), was a major Italian poet of the Late Middle Ages. His Divine Comedy, originally called Comedìa (modern Italian: Commedia) and later christened Divina by Boccaccio, is widely considered the greatest literary work composed in the Italian language and a masterpiece of world literature. It has been referred to as the greatest poem of the Middle Ages. In the late Middle Ages, the overwhelming majority of poetry was written in Latin, and therefore accessible only to affluent and educated audiences. In De vulgari eloquentia (On Eloquence in the Vernacular), however, Dante defended use of the vernacular in literature. He himself would even write in the Tuscan dialect for works such as The New Life (1295) and the aforementioned Divine Comedy; this choice, although highly unorthodox, set a hugely important precedent that later Italian writers such as Petrarch and Boccaccio would follow. As a result, Dante played an instrumental role in establishing the national language of Italy. Dante's significance also extends past his home country; his depictions of Hell, Purgatory, and Heaven have provided inspiration for a large body of Western art, and are cited as an influence on the works of John Milton, Geoffrey Chaucer and Alfred Tennyson, among many others. In addition, the first use of the interlocking three-line rhyme scheme, or the terza rima, is attributed to him. Dante has been called "the Father of the Italian language" and one of the greatest poets of world literature. In Italy, Dante is often referred to as il Sommo Poeta ("the Supreme Poet") and il Poeta; he, Petrarch, and Boccaccio are also called "the three fountains" or "the three crowns".
3111	gautama buddha	3395	Gautama Buddha (c. 563 BCE/480 BCE – c. 483 BCE/400 BCE), also known as Siddhārtha Gautama [sid̪ːʱɑːrt̪ʰə gəut̪əmə], Shakyamuni Buddha [ɕɑːkjəmun̪i bud̪ːʱə], or simply the Buddha, after the title of Buddha, was an ascetic (śramaṇa) and sage, on whose teachings Buddhism was founded. He is believed to have lived and taught mostly in the eastern part of ancient India sometime between the sixth and fourth centuries BCE. Gautama taught a Middle Way between sensual indulgence and the severe asceticism found in the śramaṇa movement common in his region. He later taught throughout other regions of eastern India such as Magadha and Kosala. Gautama is the primary figure in Buddhism. He is recognized by Buddhists as an enlightened teacher who attained full Buddhahood, and shared his insights to help sentient beings end rebirth and suffering. Accounts of his life, discourses, and monastic rules are believed by Buddhists to have been summarized after his death and memorized by his followers. Various collections of teachings attributed to him were passed down by oral tradition and first committed to writing about 400 years later.
